Distance (m),Elevation (m)
7435.784224925531,3326.658447265625
7460.905117577307,3317.41357421875
7486.026010229081,3306.960205078125
7511.146902880857,3301.912109375
7536.267795532633,3291.304931640625
7561.388688184408,3279.852783203125
7586.509580836184,3267.835693359375
7611.630473487959,3257.095947265625
7636.751366139734,3254.245361328125
7661.87225879151,3248.653076171875
7686.993151443286,3241.002197265625
7712.11404409506,3233.36865234375
7737.234936746836,3227.19677734375
7762.355829398612,3219.241455078125
7787.476722050387,3215.883056640625
7812.597614702163,3212.3974609375
7837.718507353938,3207.13818359375
7862.839400005713,3199.55908203125
7887.960292657489,3191.820068359375
7913.081185309265,3187.138427734375
7938.202077961039,3183.722900390625
7963.322970612815,3180.135009765625
7988.443863264591,3175.122314453125
8013.564755916366,3166.34033203125
8038.685648568142,3157.491455078125
8063.806541219917,3149.088623046875
8088.927433871692,3146.761962890625
8114.048326523468,3144.862060546875
8139.169219175244,3141.168212890625
8164.290111827018,3134.958251953125
8189.411004478794,3128.33935546875
8214.53189713057,3120.74365234375
8239.652789782345,3112.9091796875
8264.773682434121,3109.58203125
8289.894575085897,3107.258056640625
8315.015467737672,3104.77099609375
8340.136360389446,3098.22998046875
8365.257253041222,3089.700439453125
8390.378145692997,3080.85595703125
8415.499038344773,3071.35888671875
8440.619930996549,3066.321044921875
8465.740823648324,3063.155517578125
8490.8617163001,3058.689208984375
8515.982608951876,3053.107421875
8541.10350160365,3046.80078125
8566.224394255425,3040.68896484375
8591.3452869072,3030.18310546875
8616.466179558976,3019.66259765625
8641.587072210752,3007.6083984375
8666.707964862528,3000.3857421875
8691.828857514303,2994.19873046875
8716.949750166079,2987.74658203125
8742.070642817855,2980.12451171875
8767.191535469628,2972.50244140625
8792.312428121404,2963.117919921875
8817.43332077318,2951.00048828125
8842.554213424955,2939.483642578125
8867.675106076731,2935.57470703125
8892.795998728507,2931.663818359375
8917.916891380282,2923.3525390625
8943.037784032058,2912.568359375
8968.158676683834,2910.036376953125
8993.279569335607,2901.091552734375
9018.400461987383,2891.552734375
9043.521354639159,2880.793212890625
9068.642247290934,2878.20556640625
9093.76313994271,2871.980224609375
9118.884032594486,2861.783447265625
9144.004925246261,2852.7099609375
9169.125817898037,2847.277587890625
9194.246710549813,2840.4130859375
9219.367603201586,2830.378173828125
9244.488495853362,2823.99072265625
9269.609388505138,2821.301025390625
9294.730281156913,2812.886474609375
9319.851173808689,2801.455810546875
9344.972066460465,2795.263916015625
9370.09295911224,2788.223388671875
9395.213851764016,2778.8642578125
9420.334744415792,2772.47998046875
9445.455637067565,2767.928466796875
9470.576529719341,2761.51708984375
9495.697422371117,2752.336181640625
9520.818315022892,2741.061279296875
9545.939207674668,2739.20263671875
9571.060100326444,2735.009033203125
9596.18099297822,2724.4697265625
9621.301885629995,2715.97998046875
9646.422778281769,2713.917236328125
9671.543670933544,2709.13525390625
9696.66456358532,2699.55419921875
9721.785456237096,2689.74267578125
9746.906348888871,2687.0283203125
9772.027241540647,2680.98828125
9797.148134192423,2670.74560546875
9822.269026844198,2665.51220703125
9847.389919495974,2663.593505859375
9872.510812147748,2658.06884765625
9897.631704799524,2649.45361328125
9922.7525974513,2640.838623046875
9947.873490103075,2637.125244140625
9972.99438275485,2632.609130859375
9998.115275406626,2626.701416015625
10023.236168058402,2620.01025390625
10048.357060710177,2612.554443359375
10073.477953361953,2605.91162109375
10098.598846013727,2598.1884765625
10123.719738665503,2592.4951171875
10148.840631317278,2587.5302734375
10173.961523969054,2579.0947265625
10199.08241662083,2570.99853515625
10224.203309272605,2562.63330078125
10249.32420192438,2555.3876953125
10274.445094576156,2550.81494140625
10299.565987227932,2541.55517578125
10324.686879879706,2533.573974609375
10349.807772531482,2532.798828125
10374.928665183257,2526.53369140625
10400.049557835033,2520.80908203125
10425.170450486808,2522.186279296875
10450.291343138584,2524.63427734375
10475.41223579036,2525.745361328125
10500.533128442135,2513.2529296875
10525.654021093911,2500.464599609375
10550.774913745685,2491.152587890625
10575.89580639746,2481.96533203125
10601.016699049236,2473.531494140625
10626.137591701012,2466.754150390625
10651.258484352787,2470.8720703125
10676.379377004563,2466.579833984375
10701.500269656339,2462.08251953125
10726.621162308114,2458.96923828125
10751.74205495989,2455.22607421875
10776.862947611664,2455.626708984375
10801.98384026344,2457.618896484375
10827.104732915215,2457.654296875
10852.22562556699,2454.63525390625
10877.346518218767,2450.97119140625
10902.467410870542,2446.15625
10927.588303522318,2445.8193359375
10952.709196174093,2445.16943359375
10977.830088825867,2444.606689453125
11002.950981477643,2442.842529296875
11028.071874129419,2440.716552734375
11053.192766781194,2439.466552734375
11078.31365943297,2437.430419921875
11103.434552084746,2433.5615234375
11128.555444736521,2432.066162109375
11153.676337388297,2427.601806640625
11178.797230040072,2420.395751953125
11203.918122691846,2412.833251953125
11229.039015343622,2404.1044921875
11254.159907995398,2395.156494140625
11279.280800647173,2393.282958984375
11304.401693298949,2392.949951171875
11329.522585950725,2389.723388671875
11354.6434786025,2385.296875
11379.764371254276,2379.9658203125
11404.885263906051,2377.002197265625
11430.006156557825,2374.418212890625
11455.127049209601,2372.671630859375
11480.247941861377,2375.0576171875
11505.368834513152,2369.981689453125
11530.489727164928,2359.347900390625
11555.610619816704,2350.86181640625
11580.73151246848,2345.22021484375
11605.852405120255,2341.882568359375
11630.97329777203,2338.285888671875
11656.094190423804,2334.4326171875
11681.21508307558,2330.871826171875
11706.335975727356,2326.916748046875
11731.456868379131,2322.384521484375
11756.577761030907,2317.41845703125
11781.698653682683,2314.73876953125
11806.819546334458,2313.802734375
11831.940438986234,2311.564453125
11857.06133163801,2304.85693359375
11882.182224289783,2297.4853515625
11907.303116941559,2290.030029296875
11932.424009593335,2281.600830078125
11957.54490224511,2277.6884765625
11982.665794896886,2275.198974609375
12007.786687548662,2272.21337890625
12032.907580200437,2277.604248046875
12058.028472852213,2279.642578125
12083.149365503989,2283.408203125
12108.270258155762,2290.947998046875
12133.391150807538,2295.622314453125
12158.512043459314,2296.464111328125
12183.63293611109,2297.290283203125
12208.753828762865,2298.126953125
12233.87472141464,2299.37353515625
12258.995614066416,2300.6201171875
12284.116506718192,2302.31640625
12309.237399369966,2304.441650390625
12334.358292021741,2306.809326171875
12359.479184673517,2308.609375
12384.600077325293,2310.298095703125
12409.720969977068,2310.94482421875
12434.841862628844,2311.259033203125
12459.96275528062,2312.31787109375
12485.083647932395,2313.555908203125
12510.20454058417,2313.6943359375
12535.325433235945,2312.77099609375
12560.44632588772,2310.7060546875
12585.567218539496,2308.797119140625
12610.688111191272,2311.254150390625
12635.809003843047,2316.2548828125
12660.929896494823,2317.876953125
12686.050789146599,2316.391357421875
12711.171681798374,2315.525634765625
12736.29257445015,2315.818603515625
12761.413467101924,2315.71630859375
12786.5343597537,2315.3447265625
12811.655252405475,2315.007568359375
12836.77614505725,2317.392822265625
